Name,Iteration,Value
Task A,1,27.00646590723705
Task A,2,33.75715703502379
Task A,3,27.413656758614607
Task A,4,26.013636695807918
Task A,5,51.42238917237253
Task A,6,35.265847052332575
Task A,7,14.122066848753457
Task A,8,25.775681748594657
Task A,9,22.794734765515365
Task A,10,41.81264880509393
Task A,11,32.83108626823818
Task A,12,36.07607291941511
Task A,13,38.757812258194235
Task A,14,56.96022985090191
Task A,15,24.528341689393798
Task A,16,35.45886705397156
Task A,17,25.951432621639917
Task A,18,27.99856392753174
Task A,19,24.96538513343534
Task A,20,57.46385581221206
Task A,21,34.45162227878479
Task A,22,23.67911403122004
Task A,23,59.47455280816306
Task A,24,27.538579012405634
Task A,25,12.068644424091255
Task A,26,41.36470898092327
Task A,27,31.10890772489484
Task A,28,19.99477762878865
Task A,29,21.81114501292378
Task A,30,41.32830244425128
Task A,31,22.628590030921323
Task A,32,30.965225582472527
Task A,33,25.864639309345478
Task A,34,53.02396570637857
Task A,35,15.37742810978986
Task A,36,22.791453062682614
Task A,37,47.97404312667586
Task A,38,30.60055583358749
Task A,39,25.235605342730558
Task A,40,23.217299808568907
Task A,41,37.1991171966654
Task A,42,27.14513436994943
Task A,43,32.07461484744154
Task A,44,41.86203149544137
Task A,45,28.808882854996874
Task A,46,31.647864240574155
Task A,47,24.257208372103342
Task A,48,17.67634316539678
Task A,49,30.375153723103583
Task A,50,16.167905328930356
Task A,51,36.60707583407505
Task A,52,41.341666533550956
Task A,53,34.23132383083495
Task A,54,41.54576992487618
Task A,55,16.041682939469496
Task A,56,30.906772305592817
Task A,57,20.37078801924121
Task A,58,51.3642545088525
Task A,59,44.444313019114546
Task A,60,29.02987957142221
Task A,61,30.897071581273753
Task A,62,34.0969717994937
Task A,63,20.19449387103161
Task A,64,31.848826658832394
Task A,65,42.56299580034026
Task A,66,24.978351086265505
Task A,67,28.08498784798429
Task A,68,34.46987962025515
Task A,69,28.503748741658857
Task A,70,45.200901805224575
Task A,71,38.282847733519326
Task A,72,20.29452674741458
Task A,73,43.7167663856818
Task A,74,26.066209496853496
Task A,75,32.066476280461345
Task A,76,19.929665693543846
Task A,77,24.219956662553873
Task A,78,25.255318829013014
Task A,79,39.08429092709852
Task A,80,38.79630720835539
Task A,81,35.50664609686801
Task A,82,23.857333647782937
Task A,83,28.1498335608732
Task A,84,47.02721154815078
Task A,85,23.558184528975303
Task A,86,29.229902677760357
Task A,87,15.15263570553554
Task A,88,28.43864949112184
Task A,89,37.29813677834498
Task A,90,33.4187265291507
Task A,91,54.522906553508236
Task A,92,20.80060820332075
Task A,93,25.46348707294932
Task A,94,27.650467813483132
Task A,95,21.42834532719055
Task A,96,26.820215494284476
Task A,97,48.1427442830411
Task A,98,27.646167984360304
Task A,99,31.916036146960444
Task A,100,14.344425395844201
Task A,101,21.591332183752932
Task A,102,44.80495294038401
Task A,103,47.86869735626101
Task A,104,40.19311946035597
Task A,105,23.76230413586601
Task A,106,17.482129962474403
Task A,107,18.326038129214357
Task A,108,59.21529389784561
Task A,109,34.7662598806146
Task A,110,42.86339099622763
Task A,111,44.22264032540891
Task A,112,22.276299956219347
Task A,113,16.056516526801428
Task A,114,21.760664069249756
Task A,115,22.705219437903377
Task A,116,36.678895391912846
Task A,117,33.51164541683289
Task A,118,44.975020746390605
Task A,119,46.286721957112164
Task A,120,45.82882704263701
Task A,121,27.239899810915922
Task A,122,21.742115332928478
Task A,123,47.286495409540265
Task A,124,32.21948210694964
Task A,125,38.32600947954646
Task A,126,40.99830974898181
Task A,127,41.0927605924522
Task A,128,42.72391487400966
Task A,129,39.13453696135648
Task A,130,38.26893302763412
Task A,131,47.288707400761496
Task A,132,32.108053978306714
Task A,133,28.77165764000672
Task A,134,15.236048334641701
Task A,135,42.03513864696661
Task A,136,36.252907588501664
Task A,137,22.458448835777613
Task A,138,42.65407329853736
Task A,139,27.009635559680348
Task A,140,20.01299733567548
Task A,141,40.98773622252703
Task A,142,39.120537276112074
Task A,143,38.04093337354645
Task A,144,23.99651135918246
Task A,145,42.279576884102624
Task A,146,35.29758903873207
Task A,147,38.147266850490254
Task A,148,14.17966719141494
Task A,149,14.987778291670107
Task A,150,30.44595655989075
Task A,151,30.186871778568804
Task A,152,45.0843299001133
Task A,153,32.84843162745722
Task A,154,47.05864033515695
Task A,155,34.264197215700406
Task A,156,27.084474515752653
Task A,157,31.233948716622397
Task A,158,18.018579031164244
Task A,159,52.573699259352765
Task A,160,36.692935207344476
Task A,161,22.378433602119784
Task A,162,17.250803047847725
Task A,163,26.783228131071127
Task A,164,28.323670636007048
Task A,165,36.496158012140185
Task A,166,29.137548501147517
Task A,167,46.57058181238846
Task A,168,47.15320722030537
Task A,169,24.49150197681527
Task A,170,22.143933043683525
Task A,171,40.714783546954536
Task A,172,42.18489000152353
Task A,173,27.943141481140607
Task A,174,29.2316311554216
Task A,175,37.02040264277727
Task A,176,46.14268635621397
Task A,177,24.13899589124694
Task A,178,29.88180053564598
Task A,179,19.558586184532693
Task A,180,35.11805229396109
Task A,181,32.43557088080114
Task A,182,47.29919968730409
Task A,183,16.0031803495172
Task A,184,24.31387123399886
Task A,185,40.1506946307255
Task A,186,33.2047383857536
Task A,187,25.110055464977428
Task A,188,30.596153899600797
Task A,189,56.09203326693246
Task A,190,25.90190379801605
Task A,191,37.58559554159358
Task A,192,29.4204082363503
Task A,193,31.862999564229536
Task A,194,43.21928245283764
Task A,195,35.12062806247412
Task A,196,18.25369292334213
Task A,197,22.33482805003042
Task A,198,23.155175972519384
Task A,199,37.82266254678113
Task A,200,46.797345449265535
Task A,201,19.851518802719625
Task A,202,17.326584118950787
Task A,203,55.21678841991416
Task A,204,45.868252396287694
Task A,205,24.362837463831774
Task A,206,38.51191074192337
Task A,207,14.748608108655864
Task A,208,22.846989609342646
Task A,209,46.689031150150534
Task A,210,13.146656581356352
Task A,211,47.709841803994344
Task A,212,45.04938342881797
Task A,213,26.122796177031105
Task A,214,22.212476550261584
Task A,215,30.579975356284226
Task A,216,22.137052142443498
Task A,217,22.964253246985976
Task A,218,23.61615696097293
Task A,219,38.89792771800047
Task A,220,26.16367829442303
Task A,221,35.9304140097976
Task A,222,24.049551167244292
Task A,223,30.2855638787001
Task A,224,42.15575651307522
Task A,225,18.8631984598617
Task A,226,34.39300513046178
Task A,227,42.989898230944284
Task A,228,30.05600380182172
Task A,229,27.1669389799277
Task A,230,23.268275106714032
Task A,231,40.09260470167071
Task A,232,22.75198940592992
Task A,233,45.20088639551159
Task A,234,38.93142072895018
Task A,235,18.29027240631262
Task A,236,48.00563344234499
Task A,237,51.86550090731277
Task A,238,51.86439593361095
Task A,239,35.22566681642349
Task A,240,47.4516981953513
Task A,241,22.67946588339879
Task A,242,14.05476834780914
Task A,243,34.108926299062674
Task A,244,48.984079378160374
Task A,245,34.26032799112818
Task A,246,36.22750533660464
Task A,247,42.352164481695176
Task A,248,38.69392378445616
Task A,249,40.787240273655996
Task A,250,24.048833977765263
Task A,251,27.533767432312175
